epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,8707.6,0.90277,0.65882,1.00309,0.64714,0.50213,0.52372,0.33534,1.29745,1.21123,1.28787,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8889.17,0.89405,0.64979,0.99973,0.6336,0.51331,0.51908,0.33312,1.28907,1.21335,1.28314,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9070.82,0.89354,0.64883,0.9987,0.63025,0.49205,0.51657,0.33431,1.29044,1.22261,1.28219,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9252.43,0.88889,0.6461,0.99853,0.64164,0.50313,0.52151,0.333,1.28788,1.21273,1.28803,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9465.24,0.88053,0.63706,0.99602,0.65519,0.4868,0.51915,0.33591,1.28233,1.21219,1.28848,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9646.75,0.87748,0.63204,0.99304,0.64984,0.49362,0.51899,0.33796,1.28759,1.21737,1.2877,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9828.21,0.87021,0.62701,0.99273,0.62301,0.51402,0.51904,0.33564,1.28511,1.22833,1.28505,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10009.9,0.86943,0.62339,0.98772,0.65055,0.49486,0.51742,0.33496,1.29066,1.24445,1.28903,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10191.6,0.86132,0.61516,0.98664,0.63512,0.49872,0.51164,0.33134,1.28963,1.23789,1.28911,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10373.3,0.85474,0.61024,0.98252,0.66562,0.47743,0.51583,0.33283,1.29102,1.23275,1.28968,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10555,0.85072,0.60883,0.98327,0.65503,0.48469,0.51206,0.33426,1.28904,1.23228,1.28819,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10736.7,0.84964,0.60641,0.98111,0.64277,0.49804,0.51384,0.33729,1.29135,1.23268,1.28944,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10918.4,0.84304,0.60104,0.97778,0.66089,0.49328,0.51227,0.33824,1.28897,1.22499,1.28952,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11099.9,0.83805,0.59545,0.97443,0.6681,0.48939,0.51811,0.33916,1.29121,1.22951,1.29085,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
